Unnamed: 0,full_name,label
956014,triston cole for state senate,0
19742,american electric power company mi c,0
284827,committee to elect matthew r kacel,0
293088,committee to reelect cynthia lane ju,0
1781233,cte james jolly for judge,0
78809,heat and frost insulators local 25 p,0
55526,get kids back to school pac,0
61012,friends of phil skaggs,0
12737,the mannik and smith group inc michi,0
66985,saginaw county republican committee,0
1627569,cte william burton,0
288274,committee to elect tommy brann for s,0
137565,michigan emergency doctors political,0
85809,huizenga for michigan leadership fun,0
383496,wm good government superpac,0
1579019,committee to elect moneka sanford fo,0
65210,raise the wage mi,0
346495,3m company pac,0
55533,wayne 11th congressional district re,0
1635001,latoya m. willis for court of appeal,0
61000,committee to elect cynthia r neeley,0
49962,local 1557 intl assoc of firefighter,0
381660,miooh fund,0
385208,wont back down pac (superpac),0
509266,humane society legislative fund (sup,0
263253,committee to elect cathy albro,0
289853,veronica klinefelt for state senate,0
289808,friends to elect kim coonan state re,0
33108,kyra harris bolden for state rep,0
698448,tina bednarski-lynch for state repre,0
11561,total community options michigan pac,0
266572,john braamse for state senate,0
102986,protect mi vote,0
1088418,rigas leadership fund,0
1626068,american arab and muslim political a,0
68673,bob bezotte for state rep,0
1924847,save our schools pac,0
19752,committee to elect brenda carter,0
68678,dylan pescarolo for state representa,0
381665,chris martin for east lansing judge,0
292954,voters action committee (superpac),0
62152,vega fund,0
289870,denise mentzer for state representat,0
60994,arab american political action commi,0
1667297,shink resilient michigan fund,0
325881,cte pamela pugh,0
57608,vanwoerkom solutions pac,0
289834,committee to elect larry jackson,0
10745,police officers assn of mi poam,0
8755,dearborn firefighters political acti,0
38949,support las,0
289943,committee to elect lynn afendoulis,0
1553504,michelle ambrozaitis for judge,0
168253,norfolk southern good government fun,0
57599,committee to elect daire rendon,0
1573102,friends of stephen wooden,0
16449,committee to elect ed mcbroom,0
68687,wayne schmidt for state senate,0
572737,committee to elect george lucas,0
85798,red cedar conservatives pac,0
55522,coalition for common sense,0
14855,friends of timothy h beson,0
1712273,price majority fund,0
289922,cte joseph aragona,0
996424,5th district republican committee,0
61011,promote the vote action,0
65207,mi funeral directors assn pac mfda,0
1315475,jennifer parmalee for probate judge,0
16472,black slate inc,0
298555,committee to elect vicki barnett to,0
371423,human rights campaign pac,0
381648,committee to elect ron hawkins 2022,0
289893,emily bauman for michigan,0
427995,warner norcross and judd pac wnj pac,0
51620,michigan assisted living association,0
367747,committee to elect shirley stancato,0
1952993,citizens for accountable government,0
65211,mi working families party pac,0
47685,flagstar bank pac,0
1106201,tyson foods inc political action com,0
38950,business leaders for michigan pac ii,0
132994,cte jason kolkema for district court,0
70235,angela witwer for state representati,0
1495169,lucido for a brighter tomorrow pac,0
289877,michael bosnic for judge,0
52681,a t and t michigan pac,0
5189,lincoln park firefighters pac,0
367746,united deer farmers of michigan deer,0
417477,amos oneal leadership pac,0
289851,iron workers local 25,0
186354,community change voters (superpac),0
1749487,join the union,0
385180,borton leadership,0
55536,committee to elect marla linderman r,0
16445,committee to elect samantha stecklof,0
1064497,lisa neilson for court of appeals,0
997557,chippewa county republican committee,0
11559,mi professional firefighters union,0
552853,make democracy work,0
1009455,stacey truesdell for probate judge,0
1007740,michigan smart td pac,0
38941,genesee landlords assn pac,0
19749,mccann for michigan,0
288129,mark bernstein for university of mic,0
60995,warren professional firefighters ss,0
979809,com reelct judge sheila ann gibson,0
291368,committee to elect dewaun e robinson,0
303977,friends of mitchell robinson,0
66990,cte pamela hornberger for state sena,0
288422,greater metropolitan association of,0
1569273,committee to elect matt longjohn,0
70248,felicia brabec for state representat,0
102984,monroe plumbers and pipe fit l671,0
1059433,friends of judge andrew kowalkowski,0
391389,safe accessible fair elections michi,0
55525,ronnie peterson committee,0
288119,committee to elect martha ptashnik,0
291635,morgan cole for 30th circuit court j,0
186337,retail wholesale department store un,0
289913,friends of jamie thompson,0
1088388,michigan republican assembly,0
65179,joe tate leadership pac,0
1296912,action changes things political acti,0
124490,vote kelly breen,0
574557,parker fairbairn for state represent,0
1601127,kalamazoo county democratic party,0
1674247,matthew ackerman for court of appeal,0
1953046,friends of emu,0
6532,iosco county democratic party,0
989006,committee to elect kristian grant,0
1553508,committee to elect david m. glancy,0
1626064,american energy action fund,0
244299,leaders engaged actively in democrac,0
1013750,republican caucus of saginaw county,0
1862191,dan obrien for probate judge,0
85806,clements leadership fund,0
1300381,committee to elect russell cleary,0
263264,friends of brian hosticka,0
275165,mark gunn for state representative,0
1577163,austin marsman for michigan,0
216539,giffords pac,0
608377,protect mi voter id,0
65184,wexford county democratic party,0
381671,citizens for positive progress,0
291611,comm for local empowerment superpac,0
31018,giarmarco mullins and horton pac,0
289794,megan cottington heath for circuit c,0
65193,vanderwall majority fund,0
57604,sarah hubbard for michigan,0
261554,committee to elect dan vanden heede,0
289803,committee to elect andrew concannon,0
7221,cte richard m steenland,0
1404250,tamara lopez for kent county probate,0
1063105,van buren county democratic committe,0
57590,committee to elect mary whiteford,0
263254,committee to elect reggie reg davis,0
62160,12th congressional district republic,0
85815,friends of mari manoogian,0
57610,michigan strong future pac,0
123276,democratic state central committee,0
361422,committee to elect naomi ludman,0
121637,sarah anthony for state senate,0
1064503,libertarian party of genesee county,0
288232,michigan psychologist political acti,0
7219,dearborn federation of teachers poli,0
521884,michiganders for freedom,0
289883,friends of emily dievendorf,0
990231,sharifa kerene moore for court of ap,0
38953,judge kathleen feeney for court of a,0
1153536,citizens for a better west michigan,0
288419,liberty and justice for all coalitio,0
979789,susan b. anthony candidate fund,0
261552,take back michigan superpac,0
987777,grosse pointe education 1st (superpa,0
60980,clinton county democratic party,0
70262,chief james craig for governor,0
987768,laborers local 1191 construction wor,0
67007,mike mueller for state representativ,0
43279,operating engineers local 324 pac,0
291384,friends of david lagrand,0
995590,young for michigan pac,0
7224,plumbers & pipefitters local 190 pol,0
49984,friends of southwestern mi college,0
1030257,reggie miller for michigan,0
43278,dow inc pac (dowpac),0
66996,small business association of michig,0
294554,committee to elect aliyah sabree,0
1062115,the travelers companies inc. politic,0
57602,lagrandpac,0
54186,second congressional dist democratic,0
43273,tuscola county democratic party,0
233186,promote the vote 2022,0
1359469,committee to elect jim fouts,0
268183,committee to elect gregory c. pittma,0
1637877,democratic election fund,0
85805,julie brixie for state representativ,0
288235,prosperity michigan action fund (sup,0
1114230,joe aragona for majority,0
6507,friends of incompass michigan,0
1120313,committee to elect lisa trombley,0
1417060,committe to reelect james p lambros,0
1622060,carl meyers for university of michig,0
212519,convention of states political fund,0
990219,otsego county democratic party,0
1356119,maxim healthcare services inc michig,0
286844,cte gus tarraf,0
427991,integrity first macomb (superpac),0
70246,committee to elect joe boogren,0
1710717,committee to elect patrick sierawski,0
1564336,citizens for chip chipman,0
8764,michigan association of timberman ti,0
1239193,sustainable michigan leadership,0
95119,committee to elect david martin stat,0
78807,committee to elect sara cambensy for,0
427982,mission first people always pac,0
1559235,daniel mercier for judge,0
345432,emgage michigan pac (superpac),0
63569,cte rick outman for state senate,0
1566119,committee to elect janise oneil robi,0
55531,michigan strong (superpac),0
289841,tim kelly for state senate,0
417484,citizens for energy sovereignty,0
124493,friends to elect marshall bullock,0
49975,friends of saginaw valley state univ,0
43274,roscommon county republican party,0
1696946,committee to elect thomas stallworth,0
200216,comm pac,0
1661595,citizens against lawsuit abuse actio,0
1415195,environmental defense action fund pa,0
59221,pursuit of justice,0
68676,dayna polehanki for state senate,0
86718,friends of tom barrett,0
85801,friends of cara clemente,0
33113,realtors pac of mi,0
1281111,midwest independent retailers associ,0
66997,friends of jon bumstead,0
291339,angelique camfield for circuit court,0
424010,central michigan conservative leader,0
828920,hands off our kids,0
1551377,nicholas gumina for judge,0
1449814,alexandria taylor for michigan,0
1320206,tom mcmillin for state board of educ,0
201691,mi greenstone pac,0
102987,michigan 10th congressional district,0
254960,friends of mclaren political action,0
60992,sarah anthony for state representati,0
124491,santana for michigan,0
61009,mallory mcmorrow for michigan,0
1700086,committee to elect derek dalman,0
1503070,make liberty win (superpac),0
272987,friends of kim jorgensen gane,0
65204,brinks majority fund,0
381629,microsoft corporation stakeholders v,0
68674,itc holdings corp pac,0
291651,dennis denno for trustee,0
289910,friends of lisa werner,0
427984,citizens advancing student education,0
67000,ben pac,0
1707217,committee to elect mike tinney,0
272984,committee to elect christopher flemi,0
276236,government administrators associatio,0
270867,committee to elect brian warzocha,0
383461,macomb businesses united,0
291496,the team and toinu reeves,0
289746,committee to elect marvin cotton jr,0
1346705,friends to elect tracy ruell,0
293047,committee to elect robert borer,0
49989,michigan nurses association politica,0
289917,cte samraa luqman,0
979803,jordan acker for regent,0
293115,committee to elect anne marie mccart,0
433475,michigan peoples campaign independen,0
16458,gladwin county democratic party,0
10738,damoose leadership fund,0
132982,save america,0
1949228,committee to re-elect judge gregory,0
1924864,mental health pac,0
86721,elect ryan berman ag,0
78803,cng holdings inc pac,0
19736,farm pac (superpac),0
293017,committee to elect gregory stempfle,0
14858,wendzel will,0
1553506,friends of nancy jenkins-arno,0
66992,casey hoffman for state representati,0
61023,committee to elect kelly smith,0
289743,committee to elect betsy coffia,0
1953107,committee to elect charles longstree,0
1648324,keep livingston great,0
134898,gladwin county gop,0
514404,impact fund,0
1012340,always moving forward pac,0
1025444,go far pac,0
65197,jeff irwin for state senate,0
16468,michigan health choice alliance,0
57593,cte chad moore,0
67004,friends of housing pac,0
1346715,commitee to elect rich cutshaw,0
550911,newaygo county democratic comm,0
70232,mike macdonald for senate,0
1680023,friends of michael woodyard,0
6529,wmg pac,0
1696945,dr michael busuito for wayne state,0
835653,committee to elect cyndi s peltonen,0
381679,working america mi (superpac),0
123273,committee to elect anthony feig,0
325874,committee to elect rafael wolf,0
372431,committee to elect wendy webster jac,0
74272,one majority goal fund,0
43277,vertex pharmaceuticals inc pac,0
265426,joel sheltrown for senate,0
293160,cte adam sabree,0
